decoy,database,partner1,partner2,complex_type,dG_exp,affinity,classifier,cms,ddg_filter1,dslf_fa13,fa_atr,fa_dun_dev,fa_dun_rot,fa_dun_semi,fa_elec,fa_intra_atr_xover4,fa_intra_elec,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,holes,hxl_tors,ifa_complex_normalized,ifa_dG_cross,ifa_dG_cross_dSASAx100,ifa_dG_separated,ifa_dG_separated_dSASAx100,ifa_dSASA_hphobic,ifa_dSASA_int,ifa_dSASA_polar,ifa_delta_unsatHbonds,ifa_hbond_E_fraction,ifa_hbonds_int,ifa_nres_all,ifa_nres_int,ifa_packstat,ifa_per_residue_energy_int,ifa_sc_value,ifa_side1_normalized,ifa_side1_score,ifa_side2_normalized,ifa_side2_score,interaction_energy,lk_ball,lk_ball_bridge,lk_ball_bridge_uncpl,lk_ball_iso,omega,p_aa_pp,pro_close,rama_prepro,ref,sc,total_score
2voi,pdbbind,A,B,dimeric,-12.2217522945428,1.1e-09,1,551.354614257813,-66.7620544433594,0.0,-1034.45960713437,23.5736264245033,88.3342899220868,201.093497881971,-315.834324902798,-67.6964290767787,-45.6098951222335,27.7146954787195,46.9554705279227,103.53629444303,771.287884547148,-11.0993087931002,-5.312074943273,-23.4490885972074,-124.622854460524,-0.683606147766113,18.4950363094322,-2.04801940917969,-66.7620544433594,-3.6593036651611297,-66.7620544433594,-3.6593036651611297,1236.27368164063,1824.44702148438,588.17333984375,1,0.125418305397033,6,174,65,0.631797134876251,-2.57342624664307,0.709068655967712,-3.03112125396729,-124.275978088379,-1.79153037071228,-42.9967269897461,-66.7620545178984,410.458010904401,-1.13884611616868,-7.06791894679663,-433.52734999265294,16.5200942706455,-29.5333290955864,0.642860997300057,37.6607122950519,-3.276814,0.709068655967712,-356.355367179278
3kuc,pdbbind,A,B,dimeric,-8.66921299606097,4.42e-07,0,434.034545898438,-52.4294471740723,0.0,-1398.64893850534,42.942557349777,150.623913903506,245.00072349892,-446.015012345705,-85.8819197681041,-61.3487936338874,37.442740487042,62.4364769508926,138.196307913618,964.760212125779,-39.1300356064546,-83.8665927551705,-39.8391866185462,-78.4280560366047,0.726240038871765,39.30805128731311,-2.49520063400269,-52.4294471740723,-3.51320385932922,-52.4294471740723,-3.51320385932922,646.36572265625,1492.35424804688,845.988525390625,7,0.305519849061965,15,243,52,0.665935218334198,-2.87576484680176,0.740525603294372,-2.49011373519897,-77.1935272216797,-3.44505906105041,-72.3462448120117,-49.8023991514782,517.948706052129,-1.85062544634622,-12.3634148760243,-543.415874232967,27.8721578692393,-42.5990791521703,2.1399162188696,18.5149261376495,-20.132938,0.740525603294372,-606.333777182585
2ak4,skempi2,ABC,DE,multi,-6.4471302507037,1.88e-05,0,593.389587402344,-55.7786102294922,-8.01573970548117,-4690.71077795111,144.105601313594,419.321165021288,876.515518205882,-1543.64637414765,-272.836439096666,-208.537649867281,77.9816747811234,186.960363655247,481.549542596521,3166.86355342274,-172.189275517147,-394.162270062614,-124.324798685141,-144.572041891713,1.2858898639679,228.820662506931,-2.86819314956665,0.0,0.0,-55.7786102294922,-2.84188437461853,969.854614257812,1962.73327636719,992.878601074219,8,0.198992073535919,10,833,83,0.663136601448059,-2.59252190589905,0.709871053695678,-2.57514524459839,-103.005805969238,-2.60868620872498,-112.17350769043,-52.3870036199245,1694.2685486205,-7.70473931545833,-52.633954488985,-1780.10245489822,92.4572429871286,-181.769054234875,6.44765032882559,116.751826756364,-300.042734000001,0.709871053695678,-2389.2049536662
2gyk,skempi2,A,B,dimeric,-12.8886815039039,3.56e-10,1,500.971069335938,-57.2229537963867,0.0,-1180.37629053094,24.8779689411674,121.902142586542,189.136100548547,-413.585368228748,-65.9495741291725,-38.8022817261826,20.5159368041011,50.0384051248423,107.8959239847,942.989489909793,-54.3086081266141,-31.1408023423827,-25.7476998641812,-105.834320763482,1.02830696105957,41.9814983633101,-2.74260830879211,-57.2229537963867,-3.62618637084961,-57.2229537963867,-3.62618637084961,874.881469726562,1578.0478515625,703.166381835938,8,0.203655868768692,9,213,61,0.652678310871124,-3.24584197998047,0.735493659973144,-3.53975796699524,-113.272254943848,-2.92152070999146,-84.7241058349609,-57.2229549044761,468.06595783389,-1.42836294196846,-9.62737799796024,-490.819179531519,14.1286104994627,-50.2830733582445,2.09761875064923,32.9790236813024,-132.881312,0.735493659973144,-584.175574513083
5n48,pdbbind,A,B,dimeric,-11.3246544726318,5e-09,1,607.852783203125,-60.7827491760254,-1.2010444544348,-1470.00518187802,46.8991876201403,124.893584731395,248.704683117276,-444.48401928204,-86.276799184495,-68.749951554272,34.8939570453616,56.6792450935452,156.247089635874,920.767587370815,-59.9921953403296,-129.820925743015,-25.4883174968467,-38.996564648873,1.1521817445755,82.5250668954093,-2.94799542427063,-60.7827491760254,-2.81817817687988,-60.7827491760254,-2.81817817687988,1300.86376953125,2156.81005859375,855.946228027344,10,0.14211930334568,7,267,88,0.641886293888092,-2.91327738761902,0.678871214389801,-2.56798458099365,-123.263252258301,-3.32762885093689,-133.10514831543,-59.2011172977308,519.831218586279,-2.2193492547641,-14.4270475792584,-539.74794841697,34.3891164304939,-72.0282666004295,5.92412926250111,35.0955641122794,-100.527618,0.678871214389801,-787.114799532373
5dc4,pdbbind,A,B,dimeric,-10.1717320878604,3.5e-08,0,486.103668212891,-57.5636711120606,0.0,-1055.00630944697,23.8362640639281,83.6668378371498,141.449526693677,-292.660763821979,-59.1741341191717,-50.2864168031678,20.7265115430825,37.3713755607477,107.713838256134,666.523263664847,-33.219961919445,-80.7719124800904,-17.679203040146,-39.647986583775,0.72514122724533,61.8927916432646,-3.1313328742981,-57.5636711120606,-3.389808177948,-57.5636711120606,-3.389808177948,1028.04846191406,1698.13952636719,670.091064453125,6,0.152084991335868,6,192,70,0.66701740026474,-3.35980343818665,0.654532134532928,-3.22199964523315,-109.547988891602,-3.48995161056519,-125.638259887695,-57.5636698163762,366.241001852502,-1.74085176816623,-13.166518673523,-393.968591240529,17.8211899194575,-57.8093752079291,2.93031669531459,13.98756885909,-50.24437,0.654532134532928,-601.215908515703
1fr2_ion,skempi2,A,B,dimeric,-16.7210803219003,5.53e-13,1,502.147399902344,-59.575927734375,0.0,-1221.60295613745,31.8426389495501,122.20551321653,198.606516308643,-422.886395255469,-68.8658412974061,-45.5526006131444,28.4604953845325,52.7586350239195,131.673418991374,977.875437907511,-58.7263772957753,-30.1709689788619,-25.7504605279772,-106.716856401233,1.01523196697235,47.4334737273197,-2.62262582778931,-59.575927734375,-3.73817491531372,-59.575927734375,-3.73817491531372,913.6708984375,1593.71691894531,680.046020507813,6,0.224664688110351,10,215,61,0.615990757942199,-3.12294960021973,0.731400191783905,-3.34595370292664,-107.070518493652,-2.87687611579895,-83.4294052124023,-59.5759267705797,493.431190037197,-1.8380077299547,-13.3070803504223,-508.17627255789,13.9816114015863,-52.574836677486,2.30415726177143,29.284027771177,-137.553012,0.731400191783905,-563.864549841962
3htu,pdbbind,A,B,dimeric,-7.83722669995349,1.8e-06,0,435.623565673828,-63.6734962463379,0.0,-606.987994825643,20.5361628391302,69.6590314276126,139.506673641129,-230.372760241919,-39.5205882330108,-24.0362827591588,12.8217559282639,27.4348575018525,52.594028031161,506.21836321862,-23.067802956049,-13.8621365646195,-18.9003129846596,-68.6097544865893,0.005684540141373,18.5542040457841,-2.09912443161011,-63.6734962463379,-4.1604495048523,-63.6734962463379,-4.1604495048523,767.306091308594,1530.44750976563,763.141418457031,3,0.241118431091308,11,110,46,0.609302997589111,-2.71181893348694,0.740469694137573,-3.11832070350647,-74.8396987915039,-2.26836252212524,-49.9039764404297,-63.6734967319246,259.477538877006,-0.895320727671296,-5.99056953283742,-265.720768239643,16.0098363420841,-21.3509142128323,0.068382788484616,11.05408632313,-45.52341,0.740469694137573,-230.903694800376
1fss,skempi2,A,B,dimeric,-12.8608280271167,3.74e-10,1,619.733337402344,-51.6573333740234,-7.63516454014211,-3625.4504605382,100.174564152998,283.636457684866,543.023761615996,-956.888563254526,-203.436867227307,-138.203232759981,81.6749336905772,142.255937125274,421.70238465325104,2442.73133271718,-118.634937434765,-128.801872832394,-66.3797148960133,-190.862162836725,0.322111219167709,116.055611741577,-2.47568464279175,-52.7814521789551,-2.55675101280212,-51.6573333740234,-2.50229835510254,1070.11486816406,2064.3955078125,994.280517578125,14,0.177607834339141,8,593,74,0.589733719825744,-2.21508312225342,0.634127557277679,-2.20700573921204,-101.522262573242,-2.22835326194763,-62.3938903808594,-49.572209644046,1284.81540792266,-5.31659873405211,-35.5016948600925,-1372.15552885749,42.9516649272219,-131.262660376457,5.66958698892007,178.252332262766,-130.495464,0.634127557277679,-1468.08094766486
6iwa,pdbbind,A,C,dimeric,-9.41279812343172,1.26e-07,0,866.652038574219,-93.2588958740234,0.0,-2764.78846138713,76.7667000152014,237.38388155885,378.050142770437,-843.953913022661,-150.569636363759,-91.4757639416617,90.0302160808425,102.08841269155,294.298408078425,1989.27509909114,-66.9215541137251,-7.857689696616,-52.9337857648872,-315.119572867421,0.048402849584817,106.508353404633,-2.3293673992157,-93.2588958740234,-2.91318702697754,-93.2588958740234,-2.91318702697754,1569.35144042969,3201.26708984375,1631.91577148438,19,0.31121602654457,26,455,107,0.600043773651123,-1.72946667671204,0.689671695232391,-0.899671196937561,-23.391450881958,-1.99582076072693,-161.661483764648,-93.2588995148725,1095.79347978414,-2.89414864524316,-20.0105694352406,-1130.35576936706,40.9626667785723,-75.4278064222033,4.49929868736394,117.264246080882,-70.4743740000001,0.689671695232391,-1059.86214000557
5c67,pdbbind,A,E,dimeric,-13.7115135680006,8.9e-11,1,388.218688964844,-50.5517921447754,-7.96368620708414,-1571.7592560197,38.5689650873643,111.329523758744,242.932230770964,-468.67870148702497,-81.5373617528666,-76.7804760922082,34.2804069905758,54.6274668135124,168.202127912752,1047.48383317685,-68.9233825419909,-116.17901809203,-23.2827530504575,-51.8110461647709,2.24809718132019,60.2799324640004,-2.72583818435669,-50.5517921447754,-4.12351274490356,-50.5517921447754,-4.12351274490356,654.555358886719,1225.93994140625,571.384582519531,10,0.197877705097198,10,278,61,0.737683832645416,-2.51913118362427,0.776790738105773,-2.48597478866577,-111.868858337402,-2.61238384246826,-41.7981414794922,-45.6626522575449,558.988170598579,-2.62504725567427,-18.0721839316638,-600.004748408848,34.2290496030951,-77.3819474710662,3.05410140981645,34.8131763137967,18.4276,0.776790738105773,-757.783023575337
2ccl,skempi2,A,B,dimeric,-12.1324694998432,1.28e-09,1,497.465911865234,-59.4062614440918,0.0,-1117.05955363005,26.2371629607695,100.600021287256,149.42144885282,-384.819730661388,-62.5448039237113,-46.5510218292502,25.0139855523255,42.8817821964738,113.973666734385,745.691421506984,-47.9029975928291,-92.2162841920336,-18.1464229243726,-42.4712859122067,0.510631620883941,51.232164425939,-2.94805383682251,-59.4062614440918,-3.6302649974823,-59.4062614440918,-3.6302649974823,912.854064941406,1636.41662597656,723.562561035156,4,0.232399687170982,12,211,66,0.735450685024261,-3.09075379371643,0.699046552181243,-3.30445599555969,-118.960418701172,-2.83431100845337,-85.0293273925781,-59.406261291206896,431.270735351668,-1.34833652589124,-9.23737292058571,-442.26574346978,21.4543446646087,-63.0220805002217,1.2875190176843,15.4914775223412,-19.009458,0.699046552181243,-622.03936200906
2vir_ion,skempi2,AB,C,multi,-12.2720449332978,1.01e-09,1,348.001983642578,-38.0189514160156,-7.97420983416409,-3831.2532709952898,142.613999422876,376.772471294643,533.873795821841,-1154.07131827411,-217.113980050257,-193.824922375994,111.807939410684,140.760818265378,452.579106216134,2528.60917403103,-133.37620622344,-338.261621610675,-80.5453787931868,-103.801000106009,0.739390909671783,243.043242941638,-2.52062749862671,0.0,0.0,-38.0189514160156,-2.94070267677307,592.658386230469,1292.8525390625,700.194213867188,7,0.287766218185424,7,699,66,0.692864060401916,-2.46331286430359,0.666010618209838,-2.36076092720032,-70.8228225708008,-2.54877257347107,-91.7558135986328,-34.8961724533481,1391.4346167914,-6.09069797300853,-42.97896366936,-1449.52966498271,53.5043398352998,-178.913640724827,11.8634516755807,157.813904577457,-168.860594,0.666010618209838,-1761.91860932907
